ConcentrationBROMP,ConfusionBROMP,BoredomBROMP,FrustrationBROMP,DelightBROMP
0.434304771,0.574948532,0.443241907,0.438103659,0.413004122
0.268486795,0.574948532,0.837735969,0.449684825,0.413004122
0.420080997,0.74678097,0.482624751,0.452838682,0.430086021
0.330729336,0.55293458,0.769130359,0.409985108,0.430086021
0.456566766,0.55293458,0.390399521,0.411073344,0.430086021
0.470453765,0.55293458,0.350983098,0.411352519,0.432326167
0.607042252,0.386214681,0.357560474,0.405552129,0.434857094
0.544663942,0.438814847,0.576147771,0.454089399,0.434857094
0.460008006,0.605829077,0.405068409,0.466899413,0.436706343
0.455744894,0.615741661,0.416617514,0.467310308,0.436706343
0.533507055,0.600725242,0.596045093,0.47066279,0.463090345
0.448835166,0.692444381,0.422757434,0.470883691,0.463090345
0.441937701,0.644349658,0.441979018,0.419575409,0.467265968
0.589934875,0.479656157,0.413005569,0.465133016,0.467265968
0.589950916,0.469258956,0.412953896,0.465133185,0.467265968
0.420624442,0.386231942,0.836905993,0.473409017,0.467265968
0.407055847,0.552952578,0.504247678,0.480745642,0.467265968
0.393104021,0.552952578,0.540601611,0.482331055,0.467265968
0.558345651,0.386214681,0.4542135,0.430310095,0.467576524
0.541506612,0.407012847,0.502647936,0.424957997,0.467576524
0.554000299,0.474116784,0.46325167,0.425082167,0.467576524
0.555608662,0.474116784,0.458236445,0.425111616,0.467814157
0.555725767,0.474116784,0.457934418,0.418958269,0.467973034
0.553322456,0.474116784,0.46606357,0.412941867,0.469041932
0.552205938,0.45250628,0.47022247,0.406985966,0.470394125
0.555186958,0.452518907,0.460725068,0.452241348,0.470394125
0.555197382,0.452518907,0.460692464,0.452241516,0.470394125
0.555200357,0.452518907,0.460682988,0.452241516,0.470394125
0.362859888,0.55293458,0.680729921,0.373927397,0.330977523
0.420779255,0.55293458,0.499018125,0.37767216,0.330977523
0.487054961,0.55293458,0.299196765,0.377840456,0.332234543
0.278571766,0.750530105,0.883184704,0.452201946,0.332234543
0.24491314,0.715787302,0.9310052,0.450734403,0.418459315
0.422547073,0.715787302,0.506808021,0.450864245,0.419470587
0.388269889,0.739191441,0.618188875,0.50505267,0.419470587
0.510719228,0.590488143,0.664626929,0.507389278,0.437601705
0.252357984,0.581916279,0.924642551,0.46386787,0.50796655
0.375226842,0.581916279,0.664817997,0.464538976,0.513307386
0.013856966,0.581916279,0.999989174,0.510666268,0.513307386
0.240963839,0.615939898,0.831092885,0.460089724,0.530786542
0.256657623,0.615939898,0.791829307,0.460653497,0.548190488
0.179360437,0.55293458,0.946267202,0.466663133,0.595027443
0.089168122,0.55293458,0.996409361,0.482991413,0.595027443
0.243138757,0.729479143,0.903050901,0.483990367,0.611791329
0.234988852,0.55293458,0.916211083,0.485393039,0.611791329
0.368403528,0.386214681,0.894370819,0.485607822,0.61340773
0.369368856,0.386214681,0.893291534,0.479423012,0.614417514
0.332694101,0.418173135,0.934706797,0.527636027,0.614417514
0.362403263,0.418173135,0.904550861,0.534127656,0.615840188
0.34349615,0.447153245,0.922737745,0.528990102,0.615840188
0.179272757,0.774534558,0.992811189,0.553090025,0.698449579
0.416457322,0.55293458,0.509117315,0.371364678,0.330977523
0.495221421,0.55293458,0.275063318,0.372042951,0.330977523
0.459729059,0.55293458,0.374473052,0.374244299,0.347687475
0.575636044,0.447661206,0.447588878,0.434395265,0.347687475
0.490958436,0.602294873,0.288635198,0.427781896,0.348111188
0.62711394,0.435179279,0.291004746,0.421690297,0.348787424
0.610101924,0.435179279,0.340740311,0.416460805,0.355703637
0.616844332,0.435179279,0.321065223,0.416924745,0.359176199
0.541203258,0.386214681,0.561025981,0.364935264,0.390248994
0.471028714,0.55293458,0.346298327,0.382911643,0.391901331
0.445702949,0.55293458,0.423351126,0.384261791,0.402731578
0.576436762,0.411328287,0.450281771,0.430375253,0.402731578
0.600444601,0.411328287,0.374509105,0.430570927,0.404253216
0.587917902,0.431095424,0.406657047,0.431358182,0.404253216
0.597627494,0.498829812,0.376447882,0.431555858,0.404253216
0.577755057,0.498829812,0.439726614,0.432703761,0.413207651
0.269411214,0.472663392,0.945849605,0.398158303,0.413207651
0.289824078,0.745181322,0.789123835,0.411856687,0.430291797
0.364749306,0.55293458,0.572607641,0.414410053,0.430291797
0.403671044,0.55293458,0.44436607,0.414666598,0.432345578
0.541673837,0.386214681,0.447386743,0.408784364,0.434332348
0.537680619,0.386214681,0.461947738,0.403081554,0.437563945
0.473725558,0.440116096,0.672615959,0.457900347,0.437563945
0.372882824,0.607089814,0.569901309,0.471706404,0.447113534
0.384586231,0.617795106,0.528419567,0.472151378,0.447113534
0.518579801,0.533560018,0.537066493,0.47271699,0.451561314
